# ::id 61000
# ::tok This was the last straw , and it resulted in arousing public passions all over again .
# ::alignments 0-1.1.1 1-1.1.2 2-1.1.3.1 3-1.1.3.2 4-1.1.3.3 6-1.2 7-1.3.1 8-1.3.2 9-1.3.3.1 10-1.3.3.2 11-1.3.3.3.1 12-1.3.3.3.2 13-1.3.3.4 14-1.3.3.4 15-1.3.3.5
(v1 / label
    :H (v2 / label
           :A (v5 / label~e.0)
           :S (v6 / label~e.1)
           :A (v7 / label
                  :E (v11 / label~e.2)
                  :E (v12 / label~e.3)
                  :C (v13 / label~e.4)))
    :L (v3 / label~e.6)
    :H (v4 / label
           :A (v8 / label~e.7)
           :P (v9 / label~e.8)
           :A (v10 / label
                   :R (v14 / label~e.9)
                   :P (v15 / label~e.10)
                   :A (v16 / label
                           :E (v19 / label~e.11)
                           :C (v20 / label~e.12))
                   :D (v17 / label~e.13,14)
                   :T (v18 / label~e.15))))
